Ticker,Date,SentimentScore
AAPL,2025-10-03,0.9096
AAPL,2025-10-04,0.8838
AAPL,2025-10-05,0.7855
AAPL,2025-10-06,0.816
AAPL,2025-10-07,0.848
AAPL,2025-10-08,0.8638
AAPL,2025-10-09,0.0445
AAPL,2025-10-10,0.33104999999999996
AAPL,2025-10-11,-0.4543
NVDA,2025-10-09,0.7387
NVDA,2025-10-10,0.23593979591836733
NVDA,2025-10-11,-0.7363
SPY,2025-09-15,0.9217
SPY,2025-09-16,-0.1696
SPY,2025-09-17,0.8554
SPY,2025-09-18,0.3277
SPY,2025-09-19,-0.182
SPY,2025-09-20,0.0913
SPY,2025-09-21,0.6308
SPY,2025-09-22,0.921
SPY,2025-09-23,0.4844
SPY,2025-09-24,-0.7384
SPY,2025-09-25,0.0264
SPY,2025-09-26,0.4266
SPY,2025-09-27,0.8005
SPY,2025-09-28,0.8942
SPY,2025-09-29,-0.916
SPY,2025-09-30,0.1044
SPY,2025-10-01,0.6773
SPY,2025-10-02,0.0877
SPY,2025-10-03,0.8142
SPY,2025-10-06,0.864
SPY,2025-10-07,0.4161
SPY,2025-10-08,0.1227
SPY,2025-10-09,0.0746
SPY,2025-10-10,0.16397105263157896
SPY,2025-10-11,-0.6724
TSLA,2025-10-08,0.8245
TSLA,2025-10-09,0.7917
TSLA,2025-10-10,0.21005257731958762
TSLA,2025-10-11,-0.7363
