Ticker,Date,SentimentScore,Close,Return
SPY,2025-09-18,-0.2732,660.4290161132812,0.4672452908252023
SPY,2025-09-23,-0.6486,663.2100219726562,-0.5443591771073009
SPY,2025-09-24,0.7579,661.0999755859375,-0.31815658943793457
SPY,2025-09-25,-0.0772,658.0499877929688,-0.4613504621998388
SPY,2025-10-02,0.4019,669.219970703125,0.11518565068935338
SPY,2025-10-03,0.1779,669.2100219726562,-0.0014866158967619114
SPY,2025-10-06,0.5994,671.6099853515625,0.3586263355458641
SPY,2025-10-08,0.6369,673.1099853515625,0.5963041402874625
SPY,2025-10-09,0.4019,671.1599731445312,-0.28970186885769467
TSLA,2025-10-09,0.3818,435.5400085449219,-0.7180455170972766
